Anyo,Fecha,Plataforma,Region,Departamento,Municipio,Transportadora,Categoria,Productos,Cantidad,Descuento,Venta,Profit
Dieciocho,12/01/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega+3,Equipo para Comercio,Papel Termico,7,0.2,72576,25401.6
Dieciocho,12/01/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega+3,Electrodomesticos,Neveras,6,0.3,1819440,-10396.8
Dieciocho,12/01/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Servientrega+3,Electrodomesticos,Neveras,3,0.3,1348116,-19258.8
Dieciocho,12/01/2018,MercadoLibre,Andina,Huila,Garzon,Envia-3,Industrial,Drones,2,0,543800,157702
Dieciocho,12/01/2018,MercadoLibre,Andina,Huila,Garzon,Envia-3,Electrodomesticos,Repuestos,3,0,91680,31171.2
Dieciocho,12/01/2018,MercadoLibre,Andina,Huila,Garzon,Envia-3,Electrodomesticos,Repuestos,2,0,19640,6481.2
Dieciocho,13/01/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Equipo para Comercio,Etiquetado Mercancia,5,0,2651700,477306
Dieciocho,13/01/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Electrodomesticos,Aire Acondicionado,3,0.15,667998,7858.8
Dieciocho,13/01/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Equipo para Comercio,Impresora Tirillas,5,0,39800,13134
Dieciocho,13/01/2018,MercadoLibre,Andina,Boyaca,Villa de Leyva,Envia+4,Equipo para Comercio,Papel Termico,7,0.2,74816,26185.6
Dieciocho,13/01/2018,MercadoLibre,Pacifica,Narino,Tumaco,Envia+4,Equipo para Comercio,Estanteria,2,0,1471960,662382
Dieciocho,14/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia-3,Electrodomesticos,Aire Acondicionado,4,0.5,123920,-10657.12
Dieciocho,15/01/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia-3,Industrial,Impresoras,5,0,299900,131956
Dieciocho,16/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Servientrega+3,Electrodomesticos,Repuestos,6,0.2,254208,57196.8
Dieciocho,16/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Servientrega+3,Industrial,Drones,3,0.4,248400,-31050
Dieciocho,16/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Equipo para Comercio,Estanteria,2,0.2,6336,1980
Dieciocho,16/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Servientrega+3,Equipo para Comercio,Extractores de Polvo,3,0.2,60144,20298.6
Dieciocho,18/01/2018,MercadoLibre,Andina,Boyaca,Tunja,Servientrega+3,Equipo para Comercio,Maquinas de Cobro ,4,0.2,129728,12972.8
Dieciocho,19/01/2018,MercadoLibre,Andina,Huila,Pitalito,Servientrega+3,Equipo para Comercio,Estanteria,5,0,44900,20654
Dieciocho,19/01/2018,MercadoLibre,Orinoquia,Arauca,Tame,Envia-3,Equipo para Comercio,Papel Termico,4,0.2,112128,39244.8
Dieciocho,19/01/2018,MercadoLibre,Orinoquia,Arauca,Tame,Envia-3,Equipo para Comercio,Basculas,5,0.2,217440,73386
Dieciocho,19/01/2018,MercadoLibre,Orinoquia,Arauca,Tame,Envia-3,Electrodomesticos,Aire Acondicionado,5,0.7,362940,-64119.4
Dieciocho,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Industrial,Drones,7,0,1399860,363963.6
Dieciocho,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Equipo para Comercio,Impresora Tirillas,7,0,45920,13316.8
Dieciocho,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Electrodomesticos,Repuestos,4,0,77200,23160
Dieciocho,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Equipo para Comercio,Impresora Tirillas,3,0,13260,3580.2
Dieciocho,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Equipo para Comercio,Basculas,3,0,46680,21939.6
Dieciocho,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Electrodomesticos,Neveras,3,0,2135880,448534.8
Dieciocho,20/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Equipo para Comercio,Papel Termico,2,0,38720,18585.6
Dieciocho,20/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Electrodomesticos,Repuestos,2,0,38600,11580
Dieciocho,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Equipo para Comercio,Etiquetado Mercancia,1,0,27960,8108.4
Dieciocho,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Electrodomesticos,Repuestos,3,0,545880,60046.8
Dieciocho,20/01/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Envia+4,Equipo para Comercio,Estanteria,4,0.7,59880,-23952
Dieciocho,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Equipo para Comercio,Maquinas de Cobro ,4,0.1,495432,187163.2
Dieciocho,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Equipo para Comercio,Etiquetado Mercancia,2,0,133160,31958.4
Dieciocho,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Equipo para Comercio,Impresora Tirillas,3,0,87840,25473.6
Dieciocho,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Electrodomesticos,Repuestos,3,0,29460,9721.8
Dieciocho,20/01/2018,MercadoLibre,Andina,Risaralda,Pereira,Envia+4,Equipo para Comercio,Estanteria,1,0,60800,27968
Dieciocho,20/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Equipo para Comercio,Estanteria,5,0.2,82720,27918
Dieciocho,21/01/2018,MercadoLibre,Caribe,Bolivar,El Carmen de Bolivar,Servientrega+3,Electrodomesticos,Repuestos,3,0.2,50496,8205.6
Dieciocho,23/01/2018,MercadoLibre,Caribe,Magdalena,Santa Marta,Envia+4,Equipo para Comercio,Papel Termico,6,0,80160,38476.8
Dieciocho,23/01/2018,MercadoLibre,Pacifica,Narino,Tumaco,Envia+4,Equipo para Comercio,Luces,3,0,11880,0
Dieciocho,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Electrodomesticos,Repuestos,3,0,125640,61563.6
Dieciocho,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Equipo para Comercio,Etiquetado Mercancia,8,0,979840,0
Dieciocho,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Equipo para Comercio,Papel Termico,3,0,38880,18662.4
Dieciocho,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Equipo para Comercio,Papel Termico,2,0,33360,16680
Dieciocho,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Industrial,Drones,13,0,310700,0
Dieciocho,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Electrodomesticos,Repuestos,3,0,24840,8942.4
Dieciocho,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Industrial,Drones,2,0,375960,105268.8
Dieciocho,27/01/2018,MercadoLibre,Andina,Antioquia,Itagui,Envia+4,Equipo para Comercio,Etiquetado Mercancia,1,0,114460,28615
Dieciocho,27/01/2018,MercadoLibre,Andina,Antioquia,Itagui,Envia+4,Electrodomesticos,Lavadoras,3,0.2,666000,-16650
Dieciocho,27/01/2018,MercadoLibre,Andina,Antioquia,Itagui,Envia+4,Equipo para Comercio,Impresora Tirillas,4,0,72880,24050.4
Dieciocho,28/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia+4,Equipo para Comercio,Estanteria,5,0.7,18840,-7850
Dieciocho,30/01/2018,MercadoLibre,Pacifica,Cauca,Popayan,Envia+4,Equipo para Comercio,Papel Termico,2,0,21120,9504
Dieciocho,30/01/2018,MercadoLibre,Pacifica,Cauca,Popayan,Envia+4,Equipo para Comercio,Etiquetado Mercancia,2,0,459880,13796.4
Dieciocho,31/01/2018,MercadoLibre,Andina,Antioquia,Ciudad Bolivar,Envia-3,Electrodomesticos,Aire Acondicionado,2,0.15,581332,6839.2
Dieciocho,2/02/2018,MercadoLibre,Andina,Antioquia,Itagui,Envia+4,Equipo para Comercio,Luces,5,0,24700,11609
Dieciocho,2/02/2018,MercadoLibre,Orinoquia,Meta,Barranca de Upia,Envia+4,Equipo para Comercio,Estanteria,3,0.8,365988,-64047.9
Dieciocho,2/02/2018,MercadoLibre,Caribe,Bolivar,El Guamo,Envia+4,Industrial,Drones,5,0.2,361920,27144
Dieciocho,3/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Equipo para Comercio,Basculas,2,0,22720,10678.4
Dieciocho,3/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Equipo para Comercio,Papel Termico,5,0,72800,34944
Dieciocho,3/02/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia+4,Equipo para Comercio,Papel Termico,1,0.2,6848,2140
Dieciocho,3/02/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia+4,Industrial,Impresoras,3,0.2,302400,64260
Dieciocho,4/02/2018,MercadoLibre,Caribe,Cesar,Aguachica,Envia+4,Equipo para Comercio,Papel Termico,3,0,31680,14256
Dieciocho,4/02/2018,MercadoLibre,Caribe,Cesar,Aguachica,Envia+4,Industrial,Drones,7,0,2099860,587960.8
Dieciocho,4/02/2018,MercadoLibre,Caribe,Cesar,Aguachica,Envia+4,Equipo para Comercio,Maquinas de Cobro ,5,0,309800,80548
Dieciocho,4/02/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Servientrega+3,Equipo para Comercio,Papel Termico,5,0.2,53440,18704
Dieciocho,4/02/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Servientrega+3,Equipo para Comercio,Papel Termico,7,0.2,66976,20930
Dieciocho,4/02/2018,MercadoLibre,Andina,Tolima,Melgar,Envia+4,Electrodomesticos,Repuestos,2,0,355360,92393.6
Dieciocho,5/02/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega-2,Equipo para Comercio,Maquinas de Cobro ,3,0.2,52272,3920.4
Dieciocho,5/02/2018,MercadoLibre,Caribe,Bolivar,Mahates,Servientrega+3,Industrial,Proyectores,2,0.2,959968,179994
Dieciocho,6/02/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia+4,Equipo para Comercio,Impresora Tirillas,2,0,17120,5307.2
Dieciocho,6/02/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia+4,Industrial,Drones,3,0,479940,134383.2
Dieciocho,6/02/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia+4,Equipo para Comercio,Etiquetado Mercancia,2,0,713880,214164
Dieciocho,7/02/2018,MercadoLibre,Pacifica,Choco,Bajo Baudo,Envia+4,Industrial,Drones,2,0,147960,39949.2
Dieciocho,7/02/2018,MercadoLibre,Pacifica,Choco,Bajo Baudo,Envia+4,Equipo para Comercio,Impresora Tirillas,1,0,11160,4352.4
Dieciocho,9/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Equipo para Comercio,Maquinas de Cobro ,1,0,39800,17910
Dieciocho,9/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Electrodomesticos,Repuestos,1,0,141420,9899.4
Dieciocho,9/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Equipo para Comercio,Impresora Tirillas,3,0,42480,16142.4
Dieciocho,9/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Equipo para Comercio,Impresora Tirillas,5,0,115500,32340
Dieciocho,9/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Equipo para Comercio,Papel Termico,3,0,29880,14043.6
Dieciocho,9/02/2018,MercadoLibre,Caribe,Atlantico,Barranquilla,Servientrega+3,Industrial,Impresoras,3,0.2,479952,107989.2
Dieciocho,9/02/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Envia+4,Industrial,Corte laser,3,0.4,1119420,-24254.1
Dieciocho,9/02/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Equipo para Comercio,Estanteria,3,0.2,307104,103647.6
Dieciocho,9/02/2018,MercadoLibre,Caribe,Atlantico,Campo de la Cruz,Envia+4,Industrial,Impresoras,7,0.2,951888,190377.6
Dieciocho,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Equipo para Comercio,Papel Termico,2,0.2,18816,6820.8
Dieciocho,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Equipo para Comercio,Luces,2,0.2,9344,2920
Dieciocho,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Industrial,Drones,2,0.2,636800,214920
Dieciocho,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Equipo para Comercio,Basculas,6,0.2,25536,9256.8
Dieciocho,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Equipo para Comercio,Muebles,2,0.2,30720,-3264
Dieciocho,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Industrial,Drones,3,0.2,460752,40315.8
Dieciocho,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Industrial,Impresoras,1,0.2,14320,-89.5
Dieciocho,11/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Equipo para Comercio,Extractores de Polvo,7,0,69720,32071.2
Dieciocho,11/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Electrodomesticos,Repuestos,6,0,178680,48243.6
Dieciocho,11/02/2018,MercadoLibre,Orinoquia,Meta,El Dorado,Envia+4,Industrial,Drones,3,0.2,177552,15535.8
Dieciocho,11/02/2018,MercadoLibre,Andina,Boyaca,Raquira,Envia+4,Industrial,Drones,6,0.4,1079928,-21598.56
Dieciocho,11/02/2018,MercadoLibre,Andina,Boyaca,Raquira,Envia+4,Industrial,Drones,7,0.4,100464,-10046.4
Dieciocho,11/02/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega+3,Equipo para Comercio,Estanteria,5,0.7,64140,-22449
Dieciocho,11/02/2018,MercadoLibre,Caribe,Bolivar,San Jacinto,Envia+4,Industrial,Impresoras,10,0.2,1599840,479952
Dieciocho,11/02/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Industrial,Drones,2,0.2,92768,10436.4
Dieciocho,11/02/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Equipo para Comercio,Etiquetado Mercancia,2,0,725840,210493.6
Dieciocho,11/02/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Servientrega+3,Industrial,Impresoras,2,0,83880,30196.8
Dieciocho,11/02/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Servientrega+3,Industrial,Drones,1,0.2,105584,9238.6
Dieciocho,12/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Industrial,Impresoras,4,0,239920,105564.8
Dieciocho,12/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Electrodomesticos,Aire Acondicionado,5,0.2,1767840,-22098
Dieciocho,12/02/2018,MercadoLibre,Caribe,Sucre,Sincelejo,Envia-3,Equipo para Comercio,Estanteria,2,0.7,5484,-2010.8
Dieciocho,12/02/2018,MercadoLibre,Orinoquia,Meta,San Juan de Arama,Envia+4,Electrodomesticos,Repuestos,5,0.6,116720,-24803
Dieciocho,12/02/2018,MercadoLibre,Orinoquia,Meta,San Juan de Arama,Envia+4,Equipo para Comercio,Impresora Tirillas,7,0.2,32928,2881.2
Dieciocho,12/02/2018,MercadoLibre,Orinoquia,Meta,San Juan de Arama,Envia+4,Electrodomesticos,Repuestos,5,0.6,79920,-23976
Dieciocho,12/02/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Envia+4,Industrial,Impresoras,5,0.2,239600,59900
Dieciocho,12/02/2018,MercadoLibre,Caribe,Atlantico,Barranquilla,Envia-3,Equipo para Comercio,Maquinas de Cobro ,1,0.8,4788,-6344.1
Dieciocho,12/02/2018,MercadoLibre,Andina,Cundinamarca,Fusagasuga,Envia+4,Electrodomesticos,Repuestos,3,0,121440,47361.6
Dieciocho,12/02/2018,MercadoLibre,Andina,Cundinamarca,Fusagasuga,Envia+4,Equipo para Comercio,Papel Termico,3,0,293640,146820
Dieciocho,12/02/2018,MercadoLibre,Andina,Cundinamarca,Fusagasuga,Envia+4,Electrodomesticos,Neveras,8,0,479680,129513.6
Dieciocho,12/02/2018,MercadoLibre,Andina,Cundinamarca,Fusagasuga,Envia+4,Equipo para Comercio,Extractores de Polvo,6,0,31320,14407.2
Dieciocho,12/02/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia+4,Industrial,Impresoras,1,0,11900,1666
Dieciocho,12/02/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia+4,Equipo para Comercio,Papel Termico,3,0,30480,14325.6
Dieciocho,14/02/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Servientrega+3,Equipo para Comercio,Papel Termico,3,0.2,32352,12132
Dieciocho,14/02/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Envia+4,Industrial,Impresoras,3,0,479940,172778.4
Dieciocho,14/02/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Envia+4,Equipo para Comercio,Maquinas de Cobro ,2,0,163920,45897.6
Dieciocho,14/02/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Envia+4,Equipo para Comercio,Muebles,2,0,477240,9544.8
Dieciocho,15/02/2018,MercadoLibre,Pacifica,Cauca,Popayan,Envia+4,Equipo para Comercio,Estanteria,3,0,98880,48451.2
Dieciocho,16/02/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Envia+4,Equipo para Comercio,Estanteria,5,0.8,8480,-6360
Dieciocho,16/02/2018,MercadoLibre,Orinoquia,Meta,Acacias,Envia+4,Equipo para Comercio,Maquinas de Cobro ,2,0.8,15920,-13930
Dieciocho,17/02/2018,MercadoLibre,Caribe,Atlantico,Barranquilla,Envia+4,Equipo para Comercio,Impresora Tirillas,14,0.2,108416,17617.6
Dieciocho,18/02/2018,MercadoLibre,Orinoquia,Meta,Cabuyaro,Servientrega-2,Electrodomesticos,Repuestos,5,0.6,50320,-11322
Dieciocho,18/02/2018,MercadoLibre,Orinoquia,Meta,Puerto Concordia,Envia+4,Equipo para Comercio,Etiquetado Mercancia,2,0.2,25248,-2524.8
