Year,Date,Platform,Region,Department,Municipality,Transport,Category,Products,Quantity,Discount,Sale,Profit
Eighteen,8/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Home appliances,Spare Parts,4,0.2,88256,24270.4
Eighteen,8/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Trade Equipment,Payment Machines,1,0.2,125840,20449
Eighteen,8/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Trade Equipment,Thermal paper,2,0.2,156608,58728
Eighteen,8/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia-3,Trade Equipment,Shelving,3,0.7,13140,-5037
Eighteen,8/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia+4,Trade Equipment,Lights,2,0.2,11360,3834
Eighteen,9/01/2018,MercadoLibre,Andina,Antioquia,Caldas,Servientrega+3,Trade Equipment,Strip Printer,3,0,107880,31285.2
Eighteen,9/01/2018,MercadoLibre,Caribe,Bolivar,Magangue,Envia-3,Trade Equipment,Shelving,5,0.7,19620,-6867
Eighteen,9/01/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Envia-3,Trade Equipment,Thermal paper,6,0.2,62208,21772.8
Eighteen,9/01/2018,MercadoLibre,Amazonia,Putumayo,Mocoa,Envia+4,Trade Equipment,Shelving,2,0,155120,71355.2
Eighteen,9/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Industrial,Printers,3,0,714000,114240
Eighteen,10/01/2018,MercadoLibre,Caribe,Magdalena,Santa Marta,Envia+4,Trade Equipment,Lights,1,0,9420,0
Eighteen,11/01/2018,MercadoLibre,Amazonia,Caqueta,Cartagena del Chaira,Envia+4,Trade Equipment,Strip Printer,3,0.2,86352,8635.2
Eighteen,11/01/2018,MercadoLibre,Amazonia,Caqueta,Cartagena del Chaira,Envia+4,Industrial,Drones,4,0.2,3967936,495992
Eighteen,11/01/2018,MercadoLibre,Andina,Quindio,Armenia,Envia+4,Trade Equipment,Merchandise Labeling,5,0.2,887840,-18866.6
Eighteen,11/01/2018,MercadoLibre,Andina,Quindio,Armenia,Envia+4,Industrial,Drones,3,0.2,311952,109183.2
Eighteen,11/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Trade Equipment,Lights,5,0.2,15040,2820
Eighteen,11/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Trade Equipment,Strip Printer,3,0.2,20544,1797.6
Eighteen,11/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Trade Equipment,Dust Extractors,12,0.2,95616,31075.2
Eighteen,11/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Industrial,Drones,9,0.2,1957680,220239
Eighteen,11/01/2018,MercadoLibre,Caribe,Atlantico,Barranquilla,Envia+4,Trade Equipment,Thermal paper,3,0.2,31392,10202.4
Eighteen,11/01/2018,MercadoLibre,Caribe,Cordoba,Monteria,Envia+4,Trade Equipment,Merchandise Labeling,2,0,139040,38931.2
Eighteen,11/01/2018,MercadoLibre,Caribe,Cordoba,Monteria,Envia+4,Trade Equipment,Strip Printer,3,0,11280,3271.2
Eighteen,11/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Trade Equipment,Dust Extractors,3,0,88800,44400
Eighteen,11/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Trade Equipment,Thermal paper,5,0,42800,19260
Eighteen,11/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Trade Equipment,Payment Machines,3,0,1067880,309685.2
Eighteen,11/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Trade Equipment,Thermal paper,3,0,335880,164581.2
Eighteen,11/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Home appliances,Spare Parts,6,0,63360,19641.6
Eighteen,11/01/2018,MercadoLibre,Pacifica,Choco,Bagado,Envia+4,Trade Equipment,Payment Machines,2,0,152240,44149.6
Eighteen,11/01/2018,MercadoLibre,Andina,Boyaca,Raquira,Envia-3,Home appliances,Spare Parts,2,0.2,137408,32634.4
Eighteen,11/01/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Trade Equipment,Shelving,8,0.2,4044544,1365033.6
Eighteen,11/01/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Envia-3,Trade Equipment,Shelving,2,0.2,4067168,1525188
Eighteen,12/01/2018,MercadoLibre,Amazonia,Vaupes,Taraira,Envia-3,Home appliances,Refrigerators,8,0,5615680,1347763.2
Eighteen,12/01/2018,MercadoLibre,Amazonia,Vaupes,Taraira,Envia-3,Trade Equipment,Strip Printer,4,0,93280,25185.6
Eighteen,12/01/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Home appliances,Spare Parts,3,0,116400,57036
Eighteen,12/01/2018,MercadoLibre,Caribe,Bolivar,Cartagena,Envia+4,Industrial,Drones,4,0.2,191936,19193.6
Eighteen,12/01/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega+3,Industrial,Projectors,2,0.4,1319976,219996
Eighteen,12/01/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega+3,Home appliances,Spare Parts,2,0.2,16256,2844.8
Eighteen,12/01/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega+3,Trade Equipment,Thermal paper,7,0.2,72576,25401.6
Eighteen,12/01/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega+3,Home appliances,Refrigerators,6,0.3,1819440,-10396.8
Eighteen,12/01/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Servientrega+3,Home appliances,Refrigerators,3,0.3,1348116,-19258.8
Eighteen,12/01/2018,MercadoLibre,Andina,Huila,Garzon,Envia-3,Industrial,Drones,2,0,543800,157702
Eighteen,12/01/2018,MercadoLibre,Andina,Huila,Garzon,Envia-3,Home appliances,Spare Parts,3,0,91680,31171.2
Eighteen,12/01/2018,MercadoLibre,Andina,Huila,Garzon,Envia-3,Home appliances,Spare Parts,2,0,19640,6481.2
Eighteen,13/01/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Trade Equipment,Merchandise Labeling,5,0,2651700,477306
Eighteen,13/01/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Home appliances,Air-conditioning,3,0.15,667998,7858.8
Eighteen,13/01/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Trade Equipment,Strip Printer,5,0,39800,13134
Eighteen,13/01/2018,MercadoLibre,Andina,Boyaca,Villa de Leyva,Envia+4,Trade Equipment,Thermal paper,7,0.2,74816,26185.6
Eighteen,13/01/2018,MercadoLibre,Pacifica,Narino,Tumaco,Envia+4,Trade Equipment,Shelving,2,0,1471960,662382
Eighteen,14/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia-3,Home appliances,Air-conditioning,4,0.5,123920,-10657.12
Eighteen,15/01/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia-3,Industrial,Printers,5,0,299900,131956
Eighteen,16/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Servientrega+3,Home appliances,Spare Parts,6,0.2,254208,57196.8
Eighteen,16/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Servientrega+3,Industrial,Drones,3,0.4,248400,-31050
Eighteen,16/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Trade Equipment,Shelving,2,0.2,6336,1980
Eighteen,16/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Servientrega+3,Trade Equipment,Dust Extractors,3,0.2,60144,20298.6
Eighteen,18/01/2018,MercadoLibre,Andina,Boyaca,Tunja,Servientrega+3,Trade Equipment,Payment Machines,4,0.2,129728,12972.8
Eighteen,19/01/2018,MercadoLibre,Andina,Huila,Pitalito,Servientrega+3,Trade Equipment,Shelving,5,0,44900,20654
Eighteen,19/01/2018,MercadoLibre,Orinoquia,Arauca,Tame,Envia-3,Trade Equipment,Thermal paper,4,0.2,112128,39244.8
Eighteen,19/01/2018,MercadoLibre,Orinoquia,Arauca,Tame,Envia-3,Trade Equipment,Weigh Scales,5,0.2,217440,73386
Eighteen,19/01/2018,MercadoLibre,Orinoquia,Arauca,Tame,Envia-3,Home appliances,Air-conditioning,5,0.7,362940,-64119.4
Eighteen,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Industrial,Drones,7,0,1399860,363963.6
Eighteen,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Trade Equipment,Strip Printer,7,0,45920,13316.8
Eighteen,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Home appliances,Spare Parts,4,0,77200,23160
Eighteen,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Trade Equipment,Strip Printer,3,0,13260,3580.2
Eighteen,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Trade Equipment,Weigh Scales,3,0,46680,21939.6
Eighteen,20/01/2018,MercadoLibre,Andina,Caldas,Manizales,Envia+4,Home appliances,Refrigerators,3,0,2135880,448534.8
Eighteen,20/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Trade Equipment,Thermal paper,2,0,38720,18585.6
Eighteen,20/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Home appliances,Spare Parts,2,0,38600,11580
Eighteen,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Trade Equipment,Merchandise Labeling,1,0,27960,8108.4
Eighteen,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Home appliances,Spare Parts,3,0,545880,60046.8
Eighteen,20/01/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Envia+4,Trade Equipment,Shelving,4,0.7,59880,-23952
Eighteen,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Trade Equipment,Payment Machines,4,0.1,495432,187163.2
Eighteen,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Trade Equipment,Merchandise Labeling,2,0,133160,31958.4
Eighteen,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Trade Equipment,Strip Printer,3,0,87840,25473.6
Eighteen,20/01/2018,MercadoLibre,Pacifica,Cauca,Timbio,Envia+4,Home appliances,Spare Parts,3,0,29460,9721.8
Eighteen,20/01/2018,MercadoLibre,Andina,Risaralda,Pereira,Envia+4,Trade Equipment,Shelving,1,0,60800,27968
Eighteen,20/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Trade Equipment,Shelving,5,0.2,82720,27918
Eighteen,21/01/2018,MercadoLibre,Caribe,Bolivar,El Carmen de Bolivar,Servientrega+3,Home appliances,Spare Parts,3,0.2,50496,8205.6
Eighteen,23/01/2018,MercadoLibre,Caribe,Magdalena,Santa Marta,Envia+4,Trade Equipment,Thermal paper,6,0,80160,38476.8
Eighteen,23/01/2018,MercadoLibre,Pacifica,Narino,Tumaco,Envia+4,Trade Equipment,Lights,3,0,11880,0
Eighteen,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Home appliances,Spare Parts,3,0,125640,61563.6
Eighteen,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Trade Equipment,Merchandise Labeling,8,0,979840,0
Eighteen,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Trade Equipment,Thermal paper,3,0,38880,18662.4
Eighteen,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Trade Equipment,Thermal paper,2,0,33360,16680
Eighteen,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Industrial,Drones,13,0,310700,0
Eighteen,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Home appliances,Spare Parts,3,0,24840,8942.4
Eighteen,26/01/2018,MercadoLibre,Andina,Tolima,Cajamarca,Envia+4,Industrial,Drones,2,0,375960,105268.8
Eighteen,27/01/2018,MercadoLibre,Andina,Antioquia,Itagui,Envia+4,Trade Equipment,Merchandise Labeling,1,0,114460,28615
Eighteen,27/01/2018,MercadoLibre,Andina,Antioquia,Itagui,Envia+4,Home appliances,Washing machines,3,0.2,666000,-16650
Eighteen,27/01/2018,MercadoLibre,Andina,Antioquia,Itagui,Envia+4,Trade Equipment,Strip Printer,4,0,72880,24050.4
Eighteen,28/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia+4,Trade Equipment,Shelving,5,0.7,18840,-7850
Eighteen,30/01/2018,MercadoLibre,Pacifica,Cauca,Popayan,Envia+4,Trade Equipment,Thermal paper,2,0,21120,9504
Eighteen,30/01/2018,MercadoLibre,Pacifica,Cauca,Popayan,Envia+4,Trade Equipment,Merchandise Labeling,2,0,459880,13796.4
Eighteen,31/01/2018,MercadoLibre,Andina,Antioquia,Ciudad Bolivar,Envia-3,Home appliances,Air-conditioning,2,0.15,581332,6839.2
Eighteen,2/02/2018,MercadoLibre,Andina,Antioquia,Itagui,Envia+4,Trade Equipment,Lights,5,0,24700,11609
Eighteen,2/02/2018,MercadoLibre,Orinoquia,Meta,Barranca de Upia,Envia+4,Trade Equipment,Shelving,3,0.8,365988,-64047.9
Eighteen,2/02/2018,MercadoLibre,Caribe,Bolivar,El Guamo,Envia+4,Industrial,Drones,5,0.2,361920,27144
Eighteen,3/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Trade Equipment,Weigh Scales,2,0,22720,10678.4
Eighteen,3/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Trade Equipment,Thermal paper,5,0,72800,34944
Eighteen,3/02/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia+4,Trade Equipment,Thermal paper,1,0.2,6848,2140
Eighteen,3/02/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia+4,Industrial,Printers,3,0.2,302400,64260
Eighteen,4/02/2018,MercadoLibre,Caribe,Cesar,Aguachica,Envia+4,Trade Equipment,Thermal paper,3,0,31680,14256
Eighteen,4/02/2018,MercadoLibre,Caribe,Cesar,Aguachica,Envia+4,Industrial,Drones,7,0,2099860,587960.8
Eighteen,4/02/2018,MercadoLibre,Caribe,Cesar,Aguachica,Envia+4,Trade Equipment,Payment Machines,5,0,309800,80548
Eighteen,4/02/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Servientrega+3,Trade Equipment,Thermal paper,5,0.2,53440,18704
Eighteen,4/02/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Servientrega+3,Trade Equipment,Thermal paper,7,0.2,66976,20930
Eighteen,4/02/2018,MercadoLibre,Andina,Tolima,Melgar,Envia+4,Home appliances,Spare Parts,2,0,355360,92393.6
Eighteen,5/02/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega-2,Trade Equipment,Payment Machines,3,0.2,52272,3920.4
Eighteen,5/02/2018,MercadoLibre,Caribe,Bolivar,Mahates,Servientrega+3,Industrial,Projectors,2,0.2,959968,179994
Eighteen,6/02/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia+4,Trade Equipment,Strip Printer,2,0,17120,5307.2
Eighteen,6/02/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia+4,Industrial,Drones,3,0,479940,134383.2
Eighteen,6/02/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia+4,Trade Equipment,Merchandise Labeling,2,0,713880,214164
Eighteen,7/02/2018,MercadoLibre,Pacifica,Choco,Bajo Baudo,Envia+4,Industrial,Drones,2,0,147960,39949.2
Eighteen,7/02/2018,MercadoLibre,Pacifica,Choco,Bajo Baudo,Envia+4,Trade Equipment,Strip Printer,1,0,11160,4352.4
Eighteen,9/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Trade Equipment,Payment Machines,1,0,39800,17910
Eighteen,9/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Home appliances,Spare Parts,1,0,141420,9899.4
Eighteen,9/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Trade Equipment,Strip Printer,3,0,42480,16142.4
Eighteen,9/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Trade Equipment,Strip Printer,5,0,115500,32340
Eighteen,9/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Trade Equipment,Thermal paper,3,0,29880,14043.6
Eighteen,9/02/2018,MercadoLibre,Caribe,Atlantico,Barranquilla,Servientrega+3,Industrial,Printers,3,0.2,479952,107989.2
Eighteen,9/02/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Envia+4,Industrial,Laser Cut,3,0.4,1119420,-24254.1
Eighteen,9/02/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Trade Equipment,Shelving,3,0.2,307104,103647.6
Eighteen,9/02/2018,MercadoLibre,Caribe,Atlantico,Campo de la Cruz,Envia+4,Industrial,Printers,7,0.2,951888,190377.6
Eighteen,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Trade Equipment,Thermal paper,2,0.2,18816,6820.8
Eighteen,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Trade Equipment,Lights,2,0.2,9344,2920
Eighteen,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Industrial,Drones,2,0.2,636800,214920
Eighteen,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Trade Equipment,Weigh Scales,6,0.2,25536,9256.8
Eighteen,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Trade Equipment,Furnitures,2,0.2,30720,-3264
Eighteen,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Industrial,Drones,3,0.2,460752,40315.8
Eighteen,10/02/2018,MercadoLibre,Orinoquia,Arauca,Arauca,Envia-3,Industrial,Printers,1,0.2,14320,-89.5
Eighteen,11/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Trade Equipment,Dust Extractors,7,0,69720,32071.2
Eighteen,11/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Home appliances,Spare Parts,6,0,178680,48243.6
Eighteen,11/02/2018,MercadoLibre,Orinoquia,Meta,El Dorado,Envia+4,Industrial,Drones,3,0.2,177552,15535.8
Eighteen,11/02/2018,MercadoLibre,Andina,Boyaca,Raquira,Envia+4,Industrial,Drones,6,0.4,1079928,-21598.56
Eighteen,11/02/2018,MercadoLibre,Andina,Boyaca,Raquira,Envia+4,Industrial,Drones,7,0.4,100464,-10046.4
Eighteen,11/02/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega+3,Trade Equipment,Shelving,5,0.7,64140,-22449
Eighteen,11/02/2018,MercadoLibre,Caribe,Bolivar,San Jacinto,Envia+4,Industrial,Printers,10,0.2,1599840,479952
Eighteen,11/02/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Industrial,Drones,2,0.2,92768,10436.4
Eighteen,11/02/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Trade Equipment,Merchandise Labeling,2,0,725840,210493.6
Eighteen,11/02/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Servientrega+3,Industrial,Printers,2,0,83880,30196.8
Eighteen,11/02/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Servientrega+3,Industrial,Drones,1,0.2,105584,9238.6
Eighteen,12/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Industrial,Printers,4,0,239920,105564.8
Eighteen,12/02/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia-3,Home appliances,Air-conditioning,5,0.2,1767840,-22098
Eighteen,12/02/2018,MercadoLibre,Caribe,Sucre,Sincelejo,Envia-3,Trade Equipment,Shelving,2,0.7,5484,-2010.8
Eighteen,12/02/2018,MercadoLibre,Orinoquia,Meta,San Juan de Arama,Envia+4,Home appliances,Spare Parts,5,0.6,116720,-24803
Eighteen,12/02/2018,MercadoLibre,Orinoquia,Meta,San Juan de Arama,Envia+4,Trade Equipment,Strip Printer,7,0.2,32928,2881.2
Eighteen,12/02/2018,MercadoLibre,Orinoquia,Meta,San Juan de Arama,Envia+4,Home appliances,Spare Parts,5,0.6,79920,-23976
Eighteen,12/02/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Envia+4,Industrial,Printers,5,0.2,239600,59900
Eighteen,12/02/2018,MercadoLibre,Caribe,Atlantico,Barranquilla,Envia-3,Trade Equipment,Payment Machines,1,0.8,4788,-6344.1
Eighteen,12/02/2018,MercadoLibre,Andina,Cundinamarca,Fusagasuga,Envia+4,Home appliances,Spare Parts,3,0,121440,47361.6
Eighteen,12/02/2018,MercadoLibre,Andina,Cundinamarca,Fusagasuga,Envia+4,Trade Equipment,Thermal paper,3,0,293640,146820
Eighteen,12/02/2018,MercadoLibre,Andina,Cundinamarca,Fusagasuga,Envia+4,Home appliances,Refrigerators,8,0,479680,129513.6
Eighteen,12/02/2018,MercadoLibre,Andina,Cundinamarca,Fusagasuga,Envia+4,Trade Equipment,Dust Extractors,6,0,31320,14407.2
Eighteen,12/02/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia+4,Industrial,Printers,1,0,11900,1666
Eighteen,12/02/2018,MercadoLibre,Caribe,Cesar,Bosconia,Envia+4,Trade Equipment,Thermal paper,3,0,30480,14325.6
Eighteen,14/02/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Servientrega+3,Trade Equipment,Thermal paper,3,0.2,32352,12132
Eighteen,14/02/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Envia+4,Industrial,Printers,3,0,479940,172778.4
Eighteen,14/02/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Envia+4,Trade Equipment,Payment Machines,2,0,163920,45897.6
Eighteen,14/02/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Envia+4,Trade Equipment,Furnitures,2,0,477240,9544.8
Eighteen,15/02/2018,MercadoLibre,Pacifica,Cauca,Popayan,Envia+4,Trade Equipment,Shelving,3,0,98880,48451.2
Eighteen,16/02/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Envia+4,Trade Equipment,Shelving,5,0.8,8480,-6360
Eighteen,16/02/2018,MercadoLibre,Orinoquia,Meta,Acacias,Envia+4,Trade Equipment,Payment Machines,2,0.8,15920,-13930
Eighteen,17/02/2018,MercadoLibre,Caribe,Atlantico,Barranquilla,Envia+4,Trade Equipment,Strip Printer,14,0.2,108416,17617.6
Eighteen,18/02/2018,MercadoLibre,Orinoquia,Meta,Cabuyaro,Servientrega-2,Home appliances,Spare Parts,5,0.6,50320,-11322
Eighteen,18/02/2018,MercadoLibre,Orinoquia,Meta,Puerto Concordia,Envia+4,Trade Equipment,Merchandise Labeling,2,0.2,25248,-2524.8
Eighteen,20/02/2018,MercadoLibre,Pacifica,Narino,Pasto,Envia+4,Industrial,Printers,3,0,124620,44863.2
Eighteen,20/02/2018,MercadoLibre,Pacifica,Narino,Pasto,Envia+4,Home appliances,Spare Parts,4,0,40640,13817.6
Eighteen,20/02/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Trade Equipment,Thermal paper,2,0,25920,12441.6
Eighteen,21/02/2018,MercadoLibre,Caribe,Atlantico,Barranquilla,Envia+4,Trade Equipment,Shelving,5,0.8,17380,-14773
Eighteen,22/02/2018,MercadoLibre,Andina,Antioquia,Concordia,Envia-3,Trade Equipment,Thermal paper,3,0,38880,18662.4
Eighteen,23/02/2018,MercadoLibre,Orinoquia,Meta,Guamal,Envia+4,Trade Equipment,Dust Extractors,3,0.2,13872,4681.8
Eighteen,23/02/2018,MercadoLibre,Andina,Tolima,Ibague,Envia+4,Trade Equipment,Shelving,2,0,66040,31699.2
Eighteen,24/02/2018,MercadoLibre,Andina,Quindio,Armenia,Envia+4,Trade Equipment,Thermal paper,4,0.2,65792,22204.8
Eighteen,24/02/2018,MercadoLibre,Andina,Quindio,Armenia,Envia+4,Trade Equipment,Thermal paper,3,0.2,45552,15373.8
Eighteen,27/02/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Envia-3,Trade Equipment,Strip Printer,4,0.2,38912,6809.6
